5centimeterspersecond,5 Centimeters per Second
imgivingthedisgracednobleladyirescuedacrashcourseinnaughtinessillspoilherwithdelicaciesandstyletomakeherthehappiestwomanintheworld,I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness: I'll Spoil Her with Delicacies and Style to Make Her the Happiest Woman in the World!
iminlovewiththevillainess,I'm in Love with the Villainess
iminlovewiththevillainessshessocheekyforacommoner,I'm in Love with the Villainess: She's so Cheeky for a Commoner
imnotthehero,I'm Not the Hero!
imtheevillordofanintergalacticempire,I'm the Evil Lord of an Intergalactic Empire!
imtheheroicknightofanintergalacticempire,I'm the Heroic Knight of an Intergalactic Empire!
imthestrongestinthiszombieworldbuticantbeatthisgirl,"I'm the Strongest in This Zombie World, But I Can't Beat This Girl!"
imthevillainesssoimtamingthefinalboss,"I'm the Villainess, So I'm Taming the Final Boss"
inanotherworldwithmysmartphone,In Another World With My Smartphone
inaworldofliesifellintoanunforgettablelove,"In a World of Lies, I Fell into an Unforgettable Love"
infinitedendrogram,Infinite Dendrogram
infinitestratos,Infinite Stratos
inmyseventhlifeimetamonsterprincess,"In My Seventh Life, I Met a Monster Princess"
interspeciesreviewers,Interspecies Reviewers
inthelandofleadale,In the Land of Leadale
invadersoftherokujouma,Invaders of the Rokujouma!?
invadersoftherokujoumakickstarterbackerstories,Invaders of the Rokujouma!? Kickstarter Backer Stories
ionlyhavesixmonthstolivesoimgonnabreakthecursewithlightmagicordietrying,"I Only Have Six Months to Live, So I'm Gonna Break the Curse with Light Magic or Die Trying"
iparryeverythingwhatdoyoumeanimthestrongestimnotevenanadventureryet,I Parry Everything: What Do You Mean I'm the Strongest? I'm Not Even an Adventurer Yet!
irefusetobeyourenemy,I Refuse to Be Your Enemy!
ireincarnatedasevilalicesotheonlythingimcourtingisdeath,"I Reincarnated As Evil Alice, So the Only Thing I'm Courting Is Death!"
irinathevampirecosmonaut,Irina: The Vampire Cosmonaut
isavedtoomanygirlsandcausedtheapocalypse,I Saved Too Many Girls and Caused the Apocalypse
isekairebuildingproject,Isekai Rebuilding Project
isekaitenseirecruitedtoanotherworld,Isekai Tensei: Recruited to Another World
ishallsurviveusingpotions,I Shall Survive Using Potions!
ishura,Ishura
isitwrongtopickupgirlsinadungeon,Is It Wrong to Pick Up Girls in a Dungeon?
isitwrongtotrytopickupgirlsinadungeon,Is It Wrong to Try to Pick Up Girls in a Dungeon?
isitwrongtotrytopickupgirlsinadungeonfamiliachronicle,Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle
isitwrongtotrytopickupgirlsinadungeononthesideswordoratoria,Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side: Sword Oratoria
isurrenderedmyswordforanewlifeasamage,I Surrendered My Sword for a New Life as a Mage
isweariwontbotheryouagain,I Swear I Won't Bother You Again!
ivebeenkillingslimesfor300yearsandmaxedoutmylevel,I've Been Killing Slimes for 300 Years and Maxed Out My Level
iwanttoeatyourpancreas,I Want to Eat Your Pancreas
iwanttoescapefromprincesslessons,I Want to Escape from Princess Lessons
iwasabottomtierbureaucratfor1500yearsandthedemonkingmademeaminister,"I Was a Bottom-Tier Bureaucrat for 1,500 Years, and the Demon King Made Me a Minister"
iwillforgetthisfeelingsomeday,I Will Forget This Feeling Someday
jeanettethegeniusdefyingmyevilstepmotherbystartingabusinesswithmyrideordiefiance,Jeanette the Genius: Defying My Evil Stepmother by Starting a Business with My Ride-or-Die Fiancé!
jkharuisasexworkerinanotherworld,JK Haru Is a Sex Worker in Another World
jncoriginallightnovelcontestfinalists,JNC Original Light Novel Contest Finalists
johnsinclairdemonhunter,John Sinclair: Demon Hunter
joseethetigerandthefish,"Josee, the Tiger and the Fish"
jujutsukaisen,Jujutsu Kaisen
junitaisen,Juni Taisen
junitaisenzodiacwar,Juni Taisen: Zodiac War
junjiito,Junji Ito
kabukimonogatari,Kabukimonogatari
kageroudaze,Kagerou Daze
kaijuno8,Kaiju No. 8
kakuriyoshinjukigodsdoctorstartsapracticeinanotherworld,Kakuriyo Shinjuki God's Doctor Starts a Practice in Another World
katanagatari,KATANAGATARI
kieli,Kieli
kingdomhearts,Kingdom Hearts
kingdomhearts3582days,Kingdom Hearts 358/2 Days
kingdomhearts3582daysthenovel,Kingdom Hearts 358/2 Days: The Novel
kingdomhearts3ddreamdropdistance,Kingdom Hearts 3D: Dream Drop Distance
kingdomhearts3ddreamdropdistancethenovel,Kingdom Hearts 3D: Dream Drop Distance The Novel
kingdomheartsbirthbysleepthenovel,Kingdom Hearts Birth by Sleep: The Novel
kingdomheartschainofmemories,Kingdom Hearts: Chain of Memories
kingdomheartschainofmemoriesthenovel,Kingdom Hearts: Chain of Memories The Novel
kingdomheartsfinalmix,Kingdom Hearts: Final Mix
kingdomheartsii,Kingdom Hearts II
kingdomheartsiii,Kingdom Hearts III
kingdomheartsiithenovel,Kingdom Hearts II: The Novel
kingdomheartsrecoded,Kingdom Hearts Re:coded
kingdomheartsthecompletenovel,Kingdom Hearts: The Complete Novel
kingdomheartsthenovel,Kingdom Hearts: The Novel
kingdomheartsx,Kingdom Hearts X
kingofthelabyrinth,King of the Labyrinth
kingsproposal,King's Proposal
kinnporsche,KinnPorsche
kizumonogatari,KizuMonogatari
knightsmagic,Knight's & Magic
koboldking,Kobold King
koimonogatari,Koimonogatari
kokoroconnect,Kokoro Connect
konosuba,Konosuba
konosubaanexplosiononthiswonderfulworld,Konosuba: An Explosion on This Wonderful World!
konosubaanexplosiononthiswonderfulworldbonusstory,Konosuba: An Explosion on This Wonderful World! Bonus Story
konosubagodsblessingonthiswonderfulworld,Konosuba: God's Blessing on This Wonderful World!
konosubagodsblessingonthiswonderfulworldmemorialfanbook,Konosuba: God's Blessing on This Wonderful World! Memorial Fan Book
konosubagodsblessingonthiswonderfulworldtrpg,Konosuba: God's Blessing on This Wonderful World! TRPG
koyomimonogatari,Koyomimonogatari
kumakumakumabear,Kuma Kuma Kuma Bear
kunonthesorcerercansee,Kunon the Sorcerer Can See
kunonthesorcerercanseethrough,Kunon the Sorcerer Can See Through
kusunokisgardenofgods,Kusunoki's Garden of Gods
labyrinthangel,Labyrinth Angel
laceylongsforfreedomthedawnwitchslowkeylifeafterdefeatingthedemonking,Lacey Longs for Freedom: The Dawn Witch's Low-Key Life after Defeating the Demon King
lastandfirstidol,Last and First Idol
lastroundarthurs,Last Round Arthurs
lastroundarthursscumarthurhereticmerlin,Last Round Arthurs: Scum Arthur & Heretic Merlin
lazydungeonmaster,Lazy Dungeon Master
legendofthegalacticheroes,Legend of the Galactic Heroes
letsgettovillainessinstratagemsofaformercommoner,Let's Get to Villainessin': Stratagems of a Former Commoner
letthisgrievingsoulretire,Let This Grieving Soul Retire
liarliar,"Liar, Liar"
littleprincessinfairyforest,Little Princess in Fairy Forest
littlewitchacademia,Little Witch Academia
loghorizon,Log Horizon
lonerlifeinanotherworld,Loner Life in Another World
looksareallyouneed,Looks Are All You Need
lordofthesandsoftime,Lord of the Sands of Time
loupsgarous,Loups-Garous
loutofcountsfamily,Lout of Count's Family
